Station ID,Station Name,Data Source,Latitude (deg),Longitude (deg),Observation ID,Observation Date,Day of Year (day),Month (month),City,State/Province,County,Number,Amphibian Common Names,Life Stage,Malformation Type,Side of Body,Malformation Location,Malformation Description,Station Address,Photos,Media,Documents
1755145,"Devils Lake, ND 56th St NE and 88th Ave NE",Malformation Nation Observations,48.233340,-98.733726,8746639,1997-09-09,Sep-09,September,,North Dakota,Ramsey,,Northern Leopard Frog,Don't know,Abnormal Not Specified,,NA,"missing front digits, partial hind digits",, , , 
1755145,"Devils Lake, ND 56th St NE and 88th Ave NE",Malformation Nation Observations,48.233340,-98.733726,8746642,1997-07-09,Jul-09,July,,North Dakota,Ramsey,6,Northern Leopard Frog,Don't know,,,NA,,, , , 
1755145,"Devils Lake, ND 56th St NE and 88th Ave NE",Malformation Nation Observations,48.233340,-98.733726,8746638,1997-09-09,Sep-09,September,,North Dakota,Ramsey,,Northern Leopard Frog,Don't know,Abnormal Not Specified,,NA,"missing front digits, partial hind digits",, , , 
1755145,"Devils Lake, ND 56th St NE and 88th Ave NE",Malformation Nation Observations,48.233340,-98.733726,8746641,1997-07-09,Jul-09,July,,North Dakota,Ramsey,,Wood Frog,Adult,Missing or partially missing limbs,,Leg,missing hind limb,, , , 
1755146,Diamond Lake WI,Malformation Nation Observations,46.042854,-89.714884,8746635,1996-12-31,Jan-01,December,,Wisconsin,Vilas,,Northern Leopard Frog,Don't know,Abnormal Not Specified,,NA,missing eyes,, , , 
1755146,Diamond Lake WI,Malformation Nation Observations,46.042854,-89.714884,8746634,1996-12-31,Jan-01,December,,Wisconsin,Vilas,,Northern Leopard Frog,Don't know,Abnormal Not Specified,,NA,missing eyes,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746628,2000-04-13,Apr-14,April,Diamond Springs,California,El Dorado,,Sierra Newt,Don't know,,,NA,,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746623,2001-03-02,Mar-02,March,Diamond Springs,California,El Dorado,,Sierra Newt,Adult,Missing or abnormal eyes,Right,NA,missing left eye,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746632,2000-04-13,Apr-14,April,Diamond Springs,California,El Dorado,,Sierra Newt,Adult,Missing or abnormal eyes,Left,NA,missing left eye,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746622,2001-03-02,Mar-02,March,Diamond Springs,California,El Dorado,,Sierra Newt,Adult,Missing or abnormal eyes,Right,NA,missing left eye,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746631,2000-04-13,Apr-14,April,Diamond Springs,California,El Dorado,,Sierra Newt,Adult,Missing or abnormal eyes,Left,NA,missing left eye,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746621,2001-03-02,Mar-02,March,Diamond Springs,California,El Dorado,,Sierra Newt,Adult,Missing or abnormal eyes,Left,NA,missing right eye,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746620,2001-03-02,Mar-02,March,Diamond Springs,California,El Dorado,249,Sierra Newt,Don't know,,,NA,,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746629,2000-04-13,Apr-14,April,Diamond Springs,California,El Dorado,,Sierra Newt,Adult,Other,,NA,deformed mandible,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746627,2001-03-02,Mar-02,March,Diamond Springs,California,El Dorado,,Sierra Newt,Adult,Missing or abnormal eyes,Right,NA,missing left eye,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746626,2001-03-02,Mar-02,March,Diamond Springs,California,El Dorado,,Sierra Newt,Adult,Missing or abnormal eyes,Right,NA,missing left eye,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746633,2000-04-13,Apr-14,April,Diamond Springs,California,El Dorado,,Sierra Newt,Adult,Missing or abnormal eyes,Left,NA,missing left eye,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746630,2000-04-13,Apr-14,April,Diamond Springs,California,El Dorado,,Sierra Newt,Adult,Missing or abnormal eyes,Right,NA,missing right eye,, , , 
1755147,"Diamond Springs, CA 1 km south of Diamond Dam on Martinez Creek ",Malformation Nation Observations,38.656974,-120.821794,8746624,2001-03-02,Mar-02,March,Diamond Springs,California,El Dorado,,Sierra Newt,Adult,Missing or abnormal eyes,Right,NA,missing left eye,, , , 
